book_name,tag,star
7天搞定微积分,数学,3.975
80,管理,3.04
80后的理财快车,理财,2.8
80天环游地球,外国名著,3.77
8分钟的温暖,校园,3.4767383691845923
99%的人一看就会的理财书,理财,3.525
99%的新人，没用心做好的50件事,管理,3.588628762541806
9S 01,轻小说,4.075
A Box of Bunny Suicides,幾米,3.242857142857143
A Byte of Python,编程,3.826
A Clash of Kings,魔幻,4.6
A Dance with Dragons,魔幻,4.079411764705882
A Doll's House,戏剧,4.10126582278481
A Game of Thrones,魔幻,4.303757828810021
A Man for All Markets,投资,3.95
A Mathematician's Apology,数学,3.3157894736842106
A Murder is Announced (Miss Marple Mysteries),阿加莎·克里斯蒂,3.65
A Short History of Nearly Everything,人文,3.948148148148148
A Streetcar Named Desire,戏剧,4.075949367088608
A Theory of Fun for Game Design,策划,4.35
A Theory of Justice,自由主义,3.1
ABC谋杀案,悬疑,3.8016396213657875
ACM图灵奖演讲集,程序,2.75
AI：人工智能的本质与未来,科技,3.05
ANSI Common Lisp,编程,3.55
APP蓝图,用户体验,2.9
AURA~魔龍院光牙最後的戰鬥~,轻小说,4.1375
About Face 3,用户体验,4.05
About Face 3 交互设计精髓,用户体验,3.324666666666667
About Face 3：交互设计精髓,用户体验,3.8391304347826085
About Face 4: 交互设计精髓,用户体验,3.62
Accelerated C++中文版,编程,3.55
ActionScript 3.0 Cookbook中文版,程序,2.6
Ajax基础教程,程序,2.525
Ajax实战,程序,1.8333333333333333
Algorithm Design,算法,4.1
Algorithms,算法,4.435
Algorithms to Live By,算法,3.566666666666667
All You Need Is Kill,轻小说,3.45
All of Statistics,数学,3.65
All the Light We Cannot See,二战,3.9748743718592965
Alone Together,科技,2.9
America Alone,政治,3.45
An Ideal Husband,戏剧,3.96
And Then There Were None,阿加莎·克里斯蒂,4.228125
Android开发精要,编程,3.95
Animal Farm,政治,4.25062656641604
Another,推理小说,3.2236263736263737
"App,这样设计才好卖",交互设计,3.6
Appointment with Death,阿加莎·克里斯蒂,3.0
Araki,摄影,4.0
Artificial Intelligence,算法,4.65
Asian 甜品屋,生活,3.2
Atlas of Egyptian Art,美术,4.5
Axure RP 6原型设计精髓,交互,3.725
Axure RP7网站和APP原型制作从入门到精通,交互,2.95
A・亚当斯论摄影,摄影,3.442857142857143
BACCANO！01,轻小说,3.925
BACCANO！02,轻小说,4.1
BASARA 15,日本漫画,3.6375
BCG视野,管理,3.35
BJ单身日记,女性,2.915
BLOG启示录,web,2.95
BOY圣子到,日本漫画,3.6125
Ba-ra-kei,摄影,2.8833333333333333
Barbarians at the Gate,金融,4.025
Beautiful Code,程序,2.95
Before I Go to Sleep,悬疑,3.2
Before Sunrise & Before Sunset,电影,4.407563025210084
Blame! 1,科幻,4.048333333333333
Blood X Blood：血族传说,穿越,3.703076923076923
Blood X Blood：血族传说大结局,言情,3.8642857142857143
Borland传奇,企业史,2.9214285714285713
Botanical Portraits with Colored Pencils,绘画,4.05
Breaking Night,励志,3.0
Business Adventures,商业,2.85
Business Model Generation,商业,4.025
B栋11楼,校园,3.2375
C Primer Plus,程序,4.088636363636364
C Primer Plus(第6版)(中文版),编程,4.45
C++ Concurrency in Action,编程,3.7
C++ Primer Plus,编程,3.95
C++ Primer 中文版（第 4 版）,经典,3.721111111111111
C++ Primer 中文版（第 5 版）,编程,4.286666666666667
C++ Primer中文版,编程,3.3916666666666666
C++GUI Qt4编程,编程,3.3875
C++Primer Plus,编程,3.2333333333333334
C++标准程序库,编程,3.6857142857142855
C++沉思录,编程,3.45
C++程序设计,编程,2.82
C++程序设计原理与实践,编程,3.525
C++程序设计语言,编程,3.575
C++程序设计语言（特别版）,编程,3.4285714285714284
C++编程思想（第1卷）,编程,3.1166666666666667
C++编程规范,编程,3.45
C++设计新思维,编程,3.25
C++语言的设计与演化,编程,4.1
C++语言的设计和演化,编程,3.85
CD·365·BEST,音乐,3.3
CLAMP学园侦探团,日本漫画,2.922727272727273
CLAMP学園探偵団 (1),日本漫画,3.35625
CLOVER(01),日本漫画,3.5166666666666666
CLOVER(04),日本漫画,4.05
CLOVER（VOL.1--4）,日本漫画,3.438368860055607
CLR via C#,编程,4.1
COMPOSITION摄影构图,摄影,3.283333333333333
CSS Mastery,web,3.7
CSS基础教程,web,3.6
CSS实战手册,web,2.7
CSS实战手册（第2版）,web,3.05
CSS权威指南（第三版）,web,3.6277777777777778
CSS禅意花园,交互,3.2095238095238097
CSS网站布局实录,web,2.19
CSS网站布局实录（第2版）,交互,3.4875
CSS设计指南,web,4.0375
CSS那些事儿,web,4.15
Call Me by Your Name,爱情,4.309659090909091
Capital in the Twenty-First Century,经济,3.4625
Capitalism and Freedom,自由主义,3.4
Capitalism with Chinese Characteristics,经济,3.8135593220338984
Cards on the Table,阿加莎·克里斯蒂,3.05
Career of Evil (Cormoran Strike),J.K.罗琳,3.45
Change by Design,交互,3.55
Chaos,摄影,3.9
Chasing Daylight,张小娴,3.35
"China, Portrait of a Country",摄影,3.25
"Chobits, tome 1",日本漫画,3.0142857142857142
Cipher 1,日本漫画,3.4833333333333334
Clean Code,编程,3.75
Code,编程,4.037974683544304
Code Complete,编程,4.0
Coders at Work,编程,3.2
Color and Light,绘画,3.35
Compilers,程序,3.3
Contagious,营销,3.5
Convex Optimization,算法,4.266666666666667
Core Python Programming,程序,3.05
Cracking the Coding Interview,算法,4.233333333333333
"Cracking the Coding Interview, Fourth Edition",算法,3.45
Crooked House,阿加莎·克里斯蒂,4.0
Cui cui,落落,3.3857142857142857
Curtain,阿加莎·克里斯蒂,4.526315789473684
C专家编程,程序,3.857142857142857
C和指针,程序,3.5833333333333335
C形包围,军事,3.375
C标准库,编程,3.25
C程序设计,编程,2.486842105263158
C程序设计语言,算法,3.912490922294844
C程序设计（第二版）,程序,2.307142857142857
C语言入门经典,编程,3.825
C语言接口与实现,算法,4.25
C语言的科学和艺术,程序,3.75
C语言程序设计,编程,3.2772727272727273
C语言程序设计现代方法,编程,4.425
C陷阱与缺陷,程序,3.6797297297297296
D.Gray-Man,日本漫画,2.9875
DDD 2,轻小说,4.1375
DNA²,日本漫画,3.2642857142857142
DNA：生命的秘密,科普,4.16
DOM Scripting,web,4.1
DOOM启世录,传记,4.0970654627539504
DSLR数码单反摄影圣经,摄影,3.21
Damn Good Advice,广告,3.625
Death of a Salesman,戏剧,4.025
Death on the Nile,阿加莎·克里斯蒂,3.835
Debug Hacks中文版,编程,3.25
Deep Learning,神经网络,3.8833333333333333
Deep Web File #網絡奇談,web,3.1666666666666665
Delirious New York,建筑,3.7
Delivering Happiness,用户体验,3.95
Democracy in America,自由主义,3.55
Designing Interactions,用户体验,3.425
Designing Interfaces,用户体验,4.3
Designing Interfaces中文版,用户体验,2.8125
Designing with the Mind in Mind,交互,4.55
Development as Freedom,自由主义,2.9
Diane Arbus,摄影,3.9
Dive Into Python,程序,3.2583333333333333
Dive Into Python 3,程序,4.0
Do Androids Dream of Electric Sheep?,科幻,4.133333333333334
Don't Make Me Think,用户体验,3.666195190947666
"Don't Make Me Think, Revisited",用户体验,3.8
D・N・A2 FILE1―何処かで失くしたあいつのアイツ (1) (ジャンプコミックス),日本漫画,2.9076923076923076
D坂杀人事件,推理小说,3.48013698630137
E.席勒速写,绘画,3.533333333333333
Eat Pray Love,旅行,3.3925
"Eat, Pray, Love",女性,3.263116057233704
Effective C++,编程,4.061538461538461
Effective C++中文版,编程,3.3916666666666666
Effective Java 中文版,编程,3.47
Effective Objective-C 2.0,编程,4.2125
Effective STL中文版,程序,4.216666666666667
Effective UI,用户体验,3.35
Effective java 中文版（第2版）,编程,3.8725
El Croquis OMA ,建筑,3.65
Elliot Erwitt Snaps,摄影,4.8
Elon Musk,科技,4.00462962962963
Eloquent JavaScript,web,3.95
Emotional Design,交互,4.0
Ender's Game,科幻,3.940677966101695
Endless Night,阿加莎·克里斯蒂,4.0
Envisioning Information,设计,3.7
Erlang 程序设计,编程,3.7375
Essential C++中文版,编程,3.35
Excel图表之道,职场,4.05625
FAITH,耽美,3.77
FBI心理分析术,心理学,3.0633333333333335
FBI教你破解身体语言,心理学,2.880267000417188
FBI教你读心术,心理学,2.865047233468286
FBI行为分析学,心理学,2.638888888888889
Facebook,互联网,2.8381818181818184
Facebook效应,用户体验,3.424119241192412
Fantastic Beasts and Where to Find Them,J.K.罗琳,3.8916666666666666
Fate,轻小说,4.160857908847185
Figure Drawing,绘画,4.5
Five Little Pigs,阿加莎·克里斯蒂,4.175
Flash Boys,金融,3.8555555555555556
Flask Web Development,web,4.175
Flask Web开发：基于Python的Web应用开发实战,web,4.216666666666667
Flex第一步,交互设计,2.6
Flipped,爱情,4.14233409610984
Flow,用户体验,3.95
Fluent Python,编程,4.65
Fooled by Randomness,金融,3.8
Fortran95程序设计,程序,4.15
Founders at Work,创业,3.575
Framed Ink,绘画,4.85
Freakonomics,经济,3.6006711409395975
Fw:永真急制,设计,2.81
GANTZ殺戮都市(01),科幻,3.6777777777777776
GEB——一条永恒的金带,绘画,3.82
GON,日本漫画,3.85625
GOSICK 1,轻小说,3.4
GOSICK 2,轻小说,3.1
GOSICK 3,轻小说,2.9473684210526314
GOTH断掌事件,悬疑,3.7606871437618747
GRD: 極致的浪漫,摄影,3.575
GTO Vol. 1,日本漫画,3.548812664907652
GUI设计禁忌,用户体验,1.45
GUI设计禁忌2.0,用户体验,3.275
Genesis,摄影,4.6625
Getting Real,用户体验,3.847282608695652
Getting Started with Arduino,交互设计,3.65
Getting Started with Processing,交互设计,3.5
Getting Things Done,管理,3.566666666666667
GitHub入门与实践,编程,3.716666666666667
Git权威指南,编程,3.38125
Go Web编程,编程,3.466666666666667
Gone Girl,悬疑,3.884239888423989
Good Omens,奇幻,3.67
Google,科技,3.3833333333333333
Google将带来什么?,互联网,3.13
Google成功的七堂课,企业史,1.55
Goth.斷掌事件,悬疑,3.7919688660888022
Go语言学习笔记,编程,3.725
Go语言编程,编程,3.17
G小调进行曲,校园,3.62
G小调进行曲(1),校园,3.39
H2 好逑雙物語 32,日本漫画,3.886842105263158
HANA,生活,2.6782608695652175
HARRY POTTER and the Philosopher s Stone(1-6),魔幻,3.85
HARRY POTTER and the Prisoner of Azkaban,J.K.罗琳,4.25
HBL之契學修正【上】,耽美,3.433333333333333
HBL之死亡时间,耽美,3.525
HEADS變身,东野圭吾,3.0
HIP-HOP无穷动,音乐,3.55
HOME,耽美,3.1166666666666667
HTML & CSS设计与构建网站,web,4.0928571428571425
HTML XHTML CSS 基础教程（第6版）,web,2.3
